station_uid,count,energy,date,cost
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,19,323.54699999999997,2024-01,177.93
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,14,325.219,2024-02,178.87
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,14,287.817,2024-03,158.31
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,25,543.858,2024-04,299.07
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,27,497.32099999999997,2024-05,273.53
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,32,593.2139999999999,2024-06,327.29
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,36,854.2650000000002,2024-07,474.35
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,32,710.9700000000001,2024-08,391.04
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,2,58.870000000000005,2024-09,32.38
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,14,190.02499999999998,2024-01,104.50
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,7,122.517,2024-02,67.38
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,10,196.48600000000002,2024-03,108.07
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,6,72.606,2024-04,39.94
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,13,223.766,2024-05,123.08
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,5,76.929,2024-06,42.31
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,12,194.722,2024-07,107.09
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,12,178.359,2024-08,98.11
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,1,18.031,2024-09,9.92
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,26,205.86300000000003,2024-01,92.63
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,22,168.478,2024-02,75.80
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,32,191.41299999999998,2024-03,86.12
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,35,325.75199999999995,2024-04,146.57
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,29,276.446,2024-05,124.40
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,43,270.102,2024-06,122.15
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,48,209.43699999999998,2024-07,94.26
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,56,420.69100000000014,2024-08,189.31
fe01af77-ad39-4ad9-80bf-322d7c02a4a9,6,29.125999999999998,2024-09,13.09
addf1a35-1966-494a-8eea-8d9448eb8013,111,3728.0720000000015,2024-01,2535.10
addf1a35-1966-494a-8eea-8d9448eb8013,95,3188.352,2024-02,2168.07
addf1a35-1966-494a-8eea-8d9448eb8013,103,3235.22,2024-03,2199.94
addf1a35-1966-494a-8eea-8d9448eb8013,116,3794.1360000000004,2024-04,2580.01
addf1a35-1966-494a-8eea-8d9448eb8013,122,4081.1439999999993,2024-05,2775.19
addf1a35-1966-494a-8eea-8d9448eb8013,154,4747.612,2024-06,3228.35
addf1a35-1966-494a-8eea-8d9448eb8013,211,6895.084000000001,2024-07,4688.62
addf1a35-1966-494a-8eea-8d9448eb8013,289,10329.983999999993,2024-08,7025.87
addf1a35-1966-494a-8eea-8d9448eb8013,19,646.064,2024-09,439.31
addf1a35-1966-494a-8eea-8d9448eb8013,84,2680.5499999999993,2024-01,1822.75
addf1a35-1966-494a-8eea-8d9448eb8013,52,1457.3699999999997,2024-02,991.03
addf1a35-1966-494a-8eea-8d9448eb8013,84,2865.004,2024-03,1948.21
addf1a35-1966-494a-8eea-8d9448eb8013,114,3246.052000000001,2024-04,2207.26
addf1a35-1966-494a-8eea-8d9448eb8013,100,3118.0799999999995,2024-05,2120.26
